"","T1_Age","T1_Gender","T1_Ethnicity","T1_Education","T1_PolParty","ID","T6_ActPast_Prevent_Self","T6_ActPast_Prevent_Mask","T6_ActPast_Prevent_Sanitize","T6_ActPast_SocialDistance","T6_ActPast_SelfIsolate","T6_ActPresent_Prevent_Self","T6_ActPresent_Prevent_Mask","T6_ActPresent_Prevent_Sanitize","T6_ActPresent_SocialDistance","T6_ActPresent_SelfIsolate","T6_BFI_2_XS_extravert1","T6_BFI_2_XS_agreeable1","T6_BFI_2_XS_conscientious1","T6_BFI_2_XS_neurotic1","T6_BFI_2_XS_open1","T6_BFI_2_XS_extravert2","T6_BFI_2_XS_agreeable2","T6_BFI_2_XS_conscientious2","T6_BFI_2_XS_neurotic2","T6_BFI_2_XS_open2","T6_BFI_2_XS_extravert3","T6_BFI_2_XS_agreeable3","T6_BFI_2_XS_conscientious3","T6_BFI_2_XS_neurotic3","T6_BFI_2_XS_open3"
"53",62,1,2,7,2,53,4,4,2,3,0,4,4,1,3,1,3,3,1,2,4,1,0,1,2,1,1,2,3,3,2
"54",46,1,2,5,1,54,2,1,0,2,0,2,1,1,1,0,0,1,4,3,0,3,3,4,3,3,2,3,1,1,4
"55",49,1,2,4,1,55,4,4,4,4,3,4,4,4,4,3,4,3,0,4,4,1,1,2,4,0,0,1,4,2,3
"56",42,2,2,6,1,56,3,2,1,3,1,3,2,1,3,2,3,1,1,0,1,3,1,1,0,1,3,0,4,3,3
"57",28,2,4,5,2,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",51,1,4,5,1,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",29,1,2,6,2,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",44,2,2,5,2,60,4,4,2,3,3,4,4,2,4,3,4,3,4,4,4,1,1,4,4,2,1,3,3,0,2
"61",35,2,2,6,1,61,4,1,3,3,1,4,1,4,4,1,0,3,1,2,1,4,1,1,1,0,2,3,3,3,4
"62",28,2,2,6,2,62,4,4,4,4,2,4,4,4,4,3,3,3,4,0,4,2,1,3,0,1,1,0,4,4,3
"63",48,2,2,5,1,63,3,3,3,3,3,4,3,3,3,3,2,3,0,4,2,3,1,0,0,2,2,1,4,3,3
"64",66,2,2,5,1,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",32,2,2,6,2,65,4,4,1,4,4,4,4,1,4,4,4,4,3,4,4,0,2,4,4,0,1,1,4,4,3
"66",31,1,2,7,2,66,4,4,3,4,2,4,4,4,4,2,3,4,0,3,0,3,0,1,1,3,1,3,4,3,1
"67",70,2,2,6,1,67,2,2,1,2,0,2,2,1,2,0,1,4,0,3,4,4,1,0,4,3,1,3,4,3,3
"68",48,1,1,5,3,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",41,1,2,5,2,69,4,4,2,4,3,4,4,2,4,1,4,3,1,0,3,0,1,1,4,1,1,1,4,3,3
"70",31,2,2,4,2,70,4,4,4,4,4,4,4,4,4,4,3,4,0,3,2,1,0,0,0,0,4,4,4,4,3
"71",35,1,2,6,2,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",38,2,2,6,1,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",60,2,2,5,1,73,3,4,2,4,0,4,4,2,4,0,1,4,0,0,1,3,0,0,0,0,3,4,4,4,4
"74",32,2,2,5,1,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",67,1,2,6,1,75,4,4,0,4,4,4,4,0,4,4,3,3,0,0,3,4,3,0,0,0,4,4,4,4,4
"76",54,2,2,6,1,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",62,2,2,5,1,77,4,3,2,2,2,3,2,2,1,2,1,4,0,1,3,0,0,0,0,0,3,4,4,2,4
"78",35,2,2,6,1,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",43,1,2,6,1,79,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,1,1,1,1,2,3,1,3,2,2
"80",37,1,2,4,3,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
