"","ID","T1_PolParty","T1_Age","T1_Gender","T1_Ethnicity","T1_Education","T1c_BFI_2_XS_extravert1","T1c_BFI_2_XS_agreeable1","T1c_BFI_2_XS_conscientious1","T1c_BFI_2_XS_neurotic1","T1c_BFI_2_XS_open1","T1c_BFI_2_XS_extravert2","T1c_BFI_2_XS_agreeable2","T1c_BFI_2_XS_conscientious2","T1c_BFI_2_XS_neurotic2","T1c_BFI_2_XS_open2","T1c_BFI_2_XS_extravert3","T1c_BFI_2_XS_agreeable3","T1c_BFI_2_XS_conscientious3","T1c_BFI_2_XS_neurotic3","T1c_BFI_2_XS_open3","T2_ActPast_Prevent_Self","T2_ActPast_Prevent_Mask","T2_ActPast_Prevent_Sanitize","T2_ActPast_SocialDistance","T2_ActPast_SelfIsolate","T2_ActPresent_Prevent_Self","T2_ActPresent_Prevent_Mask","T2_ActPresent_Prevent_Sanitize","T2_ActPresent_SocialDistance","T2_ActPresent_SelfIsolate","T3_ActPast_Prevent_Self","T3_ActPast_Prevent_Mask","T3_ActPast_Prevent_Sanitize","T3_ActPast_SocialDistance","T3_ActPast_SelfIsolate","T3_ActPresent_Prevent_Self","T3_ActPresent_Prevent_Mask","T3_ActPresent_Prevent_Sanitize","T3_ActPresent_SocialDistance","T3_ActPresent_SelfIsolate","T4_ActPast_Prevent_Self","T4_ActPast_Prevent_Mask","T4_ActPast_Prevent_Sanitize","T4_ActPast_SocialDistance","T4_ActPast_SelfIsolate","T4_ActPresent_Prevent_Self","T4_ActPresent_Prevent_Mask","T4_ActPresent_Prevent_Sanitize","T4_ActPresent_SocialDistance","T4_ActPresent_SelfIsolate","T5_ActPast_Prevent_Self","T5_ActPast_Prevent_Mask","T5_ActPast_Prevent_Sanitize","T5_ActPast_SocialDistance","T5_ActPast_SelfIsolate","T5_ActPresent_Prevent_Self","T5_ActPresent_Prevent_Mask","T5_ActPresent_Prevent_Sanitize","T5_ActPresent_SocialDistance","T5_ActPresent_SelfIsolate","T6_ActPast_Prevent_Self","T6_ActPast_Prevent_Mask","T6_ActPast_Prevent_Sanitize","T6_ActPast_SocialDistance","T6_ActPast_SelfIsolate","T6_ActPresent_Prevent_Self","T6_ActPresent_Prevent_Mask","T6_ActPresent_Prevent_Sanitize","T6_ActPresent_SocialDistance","T6_ActPresent_SelfIsolate"
"654",654,3,40,2,1,7,3,4,1,1,3,4,0,1,0,1,4,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655",655,3,53,1,1,5,2,3,0,0,3,0,0,0,2,0,0,2,3,4,3,2,0,4,3,2,2,0,4,4,0,4,1,1,3,3,4,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,0,3,2,1,2,0,2,2,1,3,0,2,3,1,2,0
"656",656,2,31,1,2,6,0,4,3,3,3,0,0,3,1,0,3,2,3,2,4,1,1,1,4,2,2,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,4,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,4,4,4,4,1,4,3
"657",657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658",658,3,42,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659",659,1,31,1,2,6,3,1,1,3,1,1,1,2,3,2,2,3,3,3,1,3,1,2,3,3,3,2,3,3,2,2,2,2,2,2,1,1,2,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,1,2,3,2,3
"660",660,2,47,2,2,7,4,4,0,3,4,0,0,3,1,0,1,2,4,1,2,3,0,2,3,2,4,2,3,3,2,2,3,1,3,3,2,4,2,3,3,3,4,0,3,4,2,4,1,3,3,2,3,0,3,1,4,4,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661",661,3,33,2,1,5,4,4,3,4,4,0,1,1,3,1,0,1,4,2,3,3,0,0,3,2,3,1,1,2,3,2,3,0,4,4,1,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,3,2,4,4,2,4,3
"662",662,2,30,1,2,5,0,4,3,2,4,2,1,2,3,0,1,4,3,3,3,4,2,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663",663,2,40,2,2,6,4,4,3,4,4,0,0,2,3,2,0,0,4,0,3,4,0,3,3,2,4,2,4,4,3,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,3,4,4,2,4,3,4,4,2,4,3
"664",664,3,70,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,4,1,2,2,0,4,1,2,4,0,4,1,2,4,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,4,0,1,4,1,4,0
"665",665,3,38,2,2,5,4,3,1,4,3,4,1,3,1,3,3,1,4,4,4,3,0,3,4,4,4,1,4,4,4,3,3,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
"666",666,2,60,1,2,6,0,4,0,0,3,3,0,0,0,0,4,4,4,4,4,4,0,4,4,0,4,0,4,4,0,4,3,3,4,3,4,3,3,4,3,4,3,3,4,1,3,3,3,4,0,4,4,3,4,0,4,4,3,4,1,4,4,3,4,0,4,4,4,4,0
"667",667,NA,NA,NA,NA,NA,1,3,0,1,0,2,2,1,1,2,3,3,4,3,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668",668,3,47,2,1,6,4,3,1,0,3,0,0,1,0,3,1,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,0,3,2,0,0,0,2,3,0,1,2,2,3,1,2,0,3,4,0,2,0,3,4,0,1,0
"669",669,1,35,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670",670,2,29,1,2,5,1,4,1,1,3,3,2,0,1,1,4,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,2,3,3,2,3,2,3,4,3,3,2,3,4,3,3,2,3,4,3,3,2,3,4,3,3,3
"671",671,2,31,1,2,6,2,3,0,2,3,2,0,0,0,1,2,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
"672",672,1,50,1,2,7,3,2,3,4,4,2,0,1,0,0,1,4,3,0,2,4,0,1,4,4,4,2,2,4,4,4,4,1,4,4,4,4,2,4,4,4,4,1,4,4,4,4,2,4,4,4,4,1,4,3,4,4,1,4,4,4,4,0,4,3,4,4,1,4,4
"673",673,3,45,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674",674,2,47,2,1,5,3,3,3,2,3,3,1,2,1,2,2,3,3,3,2,4,0,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,2,4,0,2,3,3,4,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675",675,2,32,2,2,6,4,3,1,3,3,1,3,0,3,0,1,1,4,0,3,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"676",676,3,33,1,2,6,2,4,0,0,4,3,2,0,0,0,3,3,4,4,3,3,0,3,4,3,4,0,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,3,4,3,4,3,3,4,3,4,4,2,4,3,4,4,2,4,3,4,4,4,4,3,4,4,4,4,3
"677",677,3,23,1,2,6,1,2,0,1,4,3,3,1,0,0,2,2,4,3,4,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,4,3,3,3,3,4,3,3,2,2,3,2,2,1,2,3,1,2,1,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678",678,4,29,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679",679,1,30,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680",680,1,39,1,2,6,3,1,0,3,1,1,3,1,1,3,1,2,3,1,2,2,0,1,3,3,2,1,1,4,4,2,1,1,4,4,2,1,1,4,4,2,2,1,3,3,2,2,1,3,3,0,3,0,3,3,0,3,0,3,3,2,3,1,3,3,2,3,1,3,3
"681",681,1,35,2,2,5,3,3,0,2,1,0,3,0,0,3,2,3,3,2,1,2,0,1,0,3,2,0,1,3,3,2,0,2,4,0,3,1,2,4,0,3,2,2,3,0,3,2,2,3,0,3,1,2,3,0,3,1,2,3,0,3,3,3,4,1,3,3,3,4,0
"682",682,2,28,1,2,5,2,2,4,1,1,3,1,3,2,2,2,1,2,3,1,2,1,1,0,0,2,0,0,0,0,1,2,0,0,0,3,1,2,1,1,1,3,1,1,1,0,0,1,2,2,1,3,1,1,0,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4
"683",683,2,34,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,4,1,2,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684",684,1,30,1,5,7,3,1,1,0,2,1,2,1,0,1,3,1,3,3,3,4,0,0,3,2,3,1,0,3,2,3,2,0,3,3,4,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,2,2,3,2,0,2,2,3,3,0,3,2,3,3,1,3,3
"685",685,3,50,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,3,4,4,4,2,4,4,2,4,2,3,4,3,4,4,4,4,0,4,3,3,4,3,4,4,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686",686,3,44,2,1,6,4,4,1,0,2,2,0,1,0,1,2,3,3,3,2,4,0,4,2,2,4,1,4,4,4,4,4,1,2,0,4,4,2,2,0,4,4,1,3,0,4,4,4,4,0,4,4,2,3,0,4,4,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687",687,1,29,2,2,7,3,4,3,1,3,3,1,1,2,0,3,4,3,3,3,4,2,3,4,3,4,3,2,4,3,4,3,2,3,2,4,4,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688",688,1,30,2,2,6,1,4,0,1,4,4,1,0,1,0,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689",689,2,24,1,5,6,4,1,4,3,2,0,3,4,4,3,1,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,4,3,3,1,3,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
"690",690,3,57,2,8,7,2,2,1,3,3,1,2,3,3,0,1,1,3,2,2,3,1,2,4,4,3,1,2,4,4,2,2,2,4,4,4,2,2,4,4,3,4,2,4,4,4,4,2,4,4,3,2,1,4,4,2,3,1,4,4,3,3,2,4,4,3,3,2,4,4
"691",691,2,30,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,4,4,4,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692",692,2,42,2,1,6,0,3,0,0,1,3,1,0,0,0,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3
"693",693,2,48,1,2,5,4,2,3,1,2,0,0,3,2,0,1,1,3,3,3,3,0,2,3,2,3,1,2,4,3,4,3,3,3,3,4,4,4,4,3,3,3,2,4,3,4,4,3,4,4,4,3,2,4,0,4,4,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694",694,3,33,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,3,4,4,3,3,3,4,4,3,4,3,4,4,3,4,4
"695",695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,4,3,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696",696,2,55,1,2,6,3,3,1,3,3,3,1,1,3,1,3,3,3,3,3,4,0,3,4,4,4,2,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
"697",697,1,28,1,2,7,4,0,0,2,4,4,0,0,1,0,4,1,4,3,4,4,0,4,4,4,4,0,4,4,4,3,3,3,3,3,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"698",698,1,35,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699",699,2,22,2,2,6,3,3,1,3,3,1,1,3,3,3,1,3,3,1,3,2,0,3,1,0,2,1,3,3,2,3,2,1,1,2,2,2,3,1,2,2,1,2,2,1,3,2,2,1,2,2,3,2,3,2,2,2,3,2,1,3,3,3,2,2,2,3,3,2,2
"700",700,2,28,2,1,5,3,3,2,3,4,2,1,3,3,2,1,1,2,2,3,3,0,2,3,3,3,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701",701,3,45,2,2,4,4,4,1,3,2,0,0,0,3,1,1,3,4,1,1,4,0,3,4,3,4,2,4,4,3,4,1,3,3,3,4,2,4,3,3,4,4,3,4,2,4,4,4,4,3,4,4,3,4,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4,3
"702",702,NA,NA,NA,NA,NA,3,4,0,2,2,3,0,0,0,0,4,4,4,4,4,4,0,4,4,2,4,0,4,4,4,4,0,4,4,4,4,0,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4
"703",703,2,46,1,2,6,4,4,1,4,3,0,1,1,4,0,0,3,3,2,3,4,0,3,4,3,4,3,4,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704",704,3,33,2,2,6,3,3,2,3,1,2,2,1,1,2,2,3,2,1,2,2,0,2,3,4,2,1,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705",705,NA,NA,NA,NA,NA,1,2,2,1,1,2,3,3,2,2,3,2,2,3,3,3,0,1,1,1,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,3,1,3,4,3,3,2,3,3,2,1,1,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706",706,2,33,2,2,6,3,2,1,2,1,3,0,1,1,1,2,3,4,3,3,4,3,4,4,4,4,3,4,4,4,3,2,3,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"707",707,2,36,2,2,6,4,3,1,4,3,1,3,3,4,1,1,1,3,0,3,3,1,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"708",708,1,55,1,2,6,4,3,1,2,1,1,2,1,3,2,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,2,3,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709",709,3,44,2,2,6,0,4,3,1,3,3,1,1,1,1,1,3,3,1,4,3,3,3,3,2,3,3,3,3,2,3,3,3,4,1,3,3,3,4,1,4,3,3,4,2,4,3,3,4,2,4,4,3,4,3,4,4,3,4,3,4,4,3,4,0,4,4,3,4,0
"710",710,3,23,1,2,5,4,3,1,2,2,1,3,3,2,2,4,3,3,2,4,3,1,1,1,3,3,1,2,1,4,3,1,3,1,3,3,1,1,0,0,2,0,0,3,3,3,0,0,3,3,3,3,1,3,3,3,3,1,3,3,3,1,2,3,3,3,4,2,3,3
"711",711,2,39,2,5,6,3,4,0,3,4,4,1,3,2,1,4,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4
"712",712,3,60,2,1,5,1,3,0,0,4,3,0,0,0,0,4,1,4,2,3,4,0,2,4,4,4,2,3,4,1,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,3,4,3,3,2,3,4,3,3,4
"713",713,NA,NA,NA,NA,NA,3,1,4,1,2,0,3,1,4,2,3,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714",714,1,55,2,2,6,3,4,1,4,3,3,0,0,0,0,4,4,4,4,3,4,2,2,4,2,4,2,3,4,2,4,4,3,4,2,4,4,3,4,1,4,4,4,4,2,4,4,4,4,2,4,4,3,4,2,4,4,3,4,2,4,4,4,4,0,4,4,4,4,0
"715",715,3,45,2,5,6,2,0,0,0,2,4,1,0,0,0,4,3,4,4,4,2,0,4,4,0,3,2,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"716",716,2,51,2,2,6,1,4,0,0,3,3,0,0,0,0,4,3,4,4,3,3,0,4,3,3,3,2,4,4,3,4,3,2,4,0,4,4,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,1,4,4,2,3,1,4,4,2,4,0,4,4,2,4,0
"717",717,3,42,1,2,5,4,3,4,4,4,1,3,3,4,1,1,0,3,1,3,3,0,0,4,3,4,2,2,4,3,3,4,2,4,3,3,3,2,3,1,4,4,2,3,2,4,4,1,3,1,3,3,1,3,1,3,3,1,3,1,4,4,0,3,0,4,4,1,4,0
"718",718,2,29,1,2,5,3,3,1,1,3,3,1,1,1,1,3,3,3,3,3,3,0,1,3,3,3,1,2,3,3,3,2,2,3,3,3,3,2,3,3,3,2,1,3,3,3,2,1,3,3,3,2,1,3,1,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719",719,3,65,1,8,7,4,4,0,2,4,2,1,0,0,0,3,3,4,4,4,3,0,4,3,3,2,0,4,3,1,1,1,2,2,2,2,1,2,2,0,0,0,2,1,0,0,0,2,0,0,1,1,3,1,0,1,1,3,1,0,1,1,0,0,0,0,1,0,0,0
"720",720,2,29,2,1,6,2,4,2,3,1,3,0,3,3,2,3,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721",721,2,64,2,2,6,1,4,1,1,3,3,3,1,0,0,3,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,2,4,3,2,4,1,4,3,2,4,3,4,3,2,4,3,4,4,3,3,4,4,4,3,3,3,4,3,3,4,3,4,3,3,4,2
"722",722,2,32,2,2,6,4,3,1,2,4,1,0,3,1,1,2,4,3,3,3,2,0,2,3,3,4,3,4,4,4,3,3,0,3,3,4,4,2,4,4,4,4,3,4,2,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,2,4,3,4,4,3,4,3
"723",723,3,35,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,3,1,4,1,1,1,0,3,1,3,3,3,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724",724,2,40,1,5,4,3,3,1,1,3,1,1,1,1,1,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725",725,3,30,2,1,5,4,2,1,3,0,0,2,1,3,2,0,2,3,3,2,4,0,3,4,4,4,4,4,4,3,4,0,2,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,4,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,3
"726",726,2,29,1,2,6,3,4,3,4,3,0,0,3,3,0,0,4,4,1,1,4,0,0,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"727",727,3,20,1,5,6,2,2,3,3,4,4,2,2,2,0,1,1,3,2,4,2,2,2,3,2,4,3,2,2,3,0,0,4,4,4,0,0,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,4,4,4,4,3,4
"728",728,2,23,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,4,4,4,0,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729",729,2,39,2,2,6,1,4,0,0,3,0,0,0,0,0,3,4,4,4,3,4,0,3,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,3,4,3,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4
"730",730,3,41,1,2,6,4,2,2,0,3,0,3,3,3,1,1,1,2,3,2,0,0,0,3,2,2,1,1,3,1,1,0,0,4,3,2,2,0,3,2,1,1,0,3,2,1,2,1,2,1,1,1,0,3,3,1,2,1,2,1,1,1,0,3,3,2,2,1,3,1
"731",731,2,57,2,2,6,4,4,0,2,3,0,0,0,0,2,3,3,4,3,3,3,0,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,2,4,4,3,4,2,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
